,track_uri,track_name,track_pop,artist_uri,artist_info,artist_name,artist_pop,artist_genres,album_name
0,5awvelCGpDQHwgZem0ira9,Lately,53,spotify:artist:6chWbUfdu6ibyaCXM1w8kQ,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6chWbUfdu6ibyaCXM1w8kQ'}, 'followers': {'href': None, 'total': 155765}, 'genres': ['lo-fi rap'], 'href': 'https://api.spotify.com/v1/artists/6chWbUfdu6ibyaCXM1w8kQ', 'id': '6chWbUfdu6ibyaCXM1w8kQ', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb354d3b6bacb847ae6325e9b5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174354d3b6bacb847ae6325e9b5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178354d3b6bacb847ae6325e9b5', 'width': 160}], 'name': 'Forrest.', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:6chWbUfdu6ibyaCXM1w8kQ'}",Forrest.,58,['lo-fi rap'],Lately
1,44uCMdE6RWnkOFYTtbmUUc,Cherry Cola,56,spotify:artist:66LFdGYtbmJ6G8sArrkfsu,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/66LFdGYtbmJ6G8sArrkfsu'}, 'followers': {'href': None, 'total': 33952}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/66LFdGYtbmJ6G8sArrkfsu', 'id': '66LFdGYtbmJ6G8sArrkfsu', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf99fcc49ad08e4af468c892f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f99fcc49ad08e4af468c892f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f99fcc49ad08e4af468c892f', 'width': 160}], 'name': 'Kuwada', 'popularity': 47, 'type': 'artist', 'uri': 'spotify:artist:66LFdGYtbmJ6G8sArrkfsu'}",Kuwada,47,[],Cherry Cola
2,6vl5ghDnotGACfQy6JDYzY,A Song to Sing (feat. Mark Battles & Devvon Terrell),0,spotify:artist:5vGXVYudNgm9E7jhXMM0Ro,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5vGXVYudNgm9E7jhXMM0Ro'}, 'followers': {'href': None, 'total': 110447}, 'genres': ['indiana hip hop', 'indie pop rap', 'pop', 'pop rap'], 'href': 'https://api.spotify.com/v1/artists/5vGXVYudNgm9E7jhXMM0Ro', 'id': '5vGXVYudNgm9E7jhXMM0Ro', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd6eabb03c164a98cd19876d9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d6eabb03c164a98cd19876d9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d6eabb03c164a98cd19876d9', 'width': 160}], 'name': 'Kid Quill', 'popularity': 51, 'type': 'artist', 'uri': 'spotify:artist:5vGXVYudNgm9E7jhXMM0Ro'}",Kid Quill,51,"['indiana hip hop', 'indie pop rap', 'pop', 'pop rap']",The Name Above the Title
3,0rWXN4PLsnNaWDelk2938S,NWA,0,spotify:artist:0gKR8NI5vgeG9kCyt8q06v,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0gKR8NI5vgeG9kCyt8q06v'}, 'followers': {'href': None, 'total': 5095}, 'genres': ['lo-fi rap'], 'href': 'https://api.spotify.com/v1/artists/0gKR8NI5vgeG9kCyt8q06v', 'id': '0gKR8NI5vgeG9kCyt8q06v', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb758c5a00dbd1d965d0389d5f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174758c5a00dbd1d965d0389d5f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178758c5a00dbd1d965d0389d5f', 'width': 160}], 'name': 'Ryce', 'popularity': 46, 'type': 'artist', 'uri': 'spotify:artist:0gKR8NI5vgeG9kCyt8q06v'}",Ryce,46,['lo-fi rap'],NWA
4,3ZNOdspGb2cdossfsUqTjw,Just Chill,35,spotify:artist:6chWbUfdu6ibyaCXM1w8kQ,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6chWbUfdu6ibyaCXM1w8kQ'}, 'followers': {'href': None, 'total': 155765}, 'genres': ['lo-fi rap'], 'href': 'https://api.spotify.com/v1/artists/6chWbUfdu6ibyaCXM1w8kQ', 'id': '6chWbUfdu6ibyaCXM1w8kQ', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb354d3b6bacb847ae6325e9b5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174354d3b6bacb847ae6325e9b5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178354d3b6bacb847ae6325e9b5', 'width': 160}], 'name': 'Forrest.', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:6chWbUfdu6ibyaCXM1w8kQ'}",Forrest.,58,['lo-fi rap'],Warm
5,3ELtMjUmzqUZGtOtvd3DqO,Playlist,0,spotify:artist:5vGXVYudNgm9E7jhXMM0Ro,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5vGXVYudNgm9E7jhXMM0Ro'}, 'followers': {'href': None, 'total': 110447}, 'genres': ['indiana hip hop', 'indie pop rap', 'pop', 'pop rap'], 'href': 'https://api.spotify.com/v1/artists/5vGXVYudNgm9E7jhXMM0Ro', 'id': '5vGXVYudNgm9E7jhXMM0Ro', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd6eabb03c164a98cd19876d9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d6eabb03c164a98cd19876d9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d6eabb03c164a98cd19876d9', 'width': 160}], 'name': 'Kid Quill', 'popularity': 51, 'type': 'artist', 'uri': 'spotify:artist:5vGXVYudNgm9E7jhXMM0Ro'}",Kid Quill,51,"['indiana hip hop', 'indie pop rap', 'pop', 'pop rap']",94.3 the Reel
6,5vUel569Lei71zcFkbHr3W,Easy (feat. Wiz Khalifa),0,spotify:artist:3kkoYvxvV00UXPJCqMCljL,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3kkoYvxvV00UXPJCqMCljL'}, 'followers': {'href': None, 'total': 32570}, 'genres': ['boston hip hop'], 'href': 'https://api.spotify.com/v1/artists/3kkoYvxvV00UXPJCqMCljL', 'id': '3kkoYvxvV00UXPJCqMCljL', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3c8f6e40d37b586a656ce94c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743c8f6e40d37b586a656ce94c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783c8f6e40d37b586a656ce94c', 'width': 160}], 'name': 'Caye', 'popularity': 56, 'type': 'artist', 'uri': 'spotify:artist:3kkoYvxvV00UXPJCqMCljL'}",Caye,56,['boston hip hop'],Easy (feat. Wiz Khalifa)
7,6InVPJLNbia2XBqDUVqxWy,Sunkissed,31,spotify:artist:2BqGcPMYKUBDhza7h0fqFq,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2BqGcPMYKUBDhza7h0fqFq'}, 'followers': {'href': None, 'total': 16220}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/2BqGcPMYKUBDhza7h0fqFq', 'id': '2BqGcPMYKUBDhza7h0fqFq', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1413b726aaf963b0932d472e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741413b726aaf963b0932d472e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781413b726aaf963b0932d472e', 'width': 160}], 'name': 'NVTHVN', 'popularity': 40, 'type': 'artist', 'uri': 'spotify:artist:2BqGcPMYKUBDhza7h0fqFq'}",NVTHVN,40,[],Sunkissed
8,4Hpi2QkO0Yl8OzirZuyY57,Ocean~,37,spotify:artist:66LFdGYtbmJ6G8sArrkfsu,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/66LFdGYtbmJ6G8sArrkfsu'}, 'followers': {'href': None, 'total': 33952}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/66LFdGYtbmJ6G8sArrkfsu', 'id': '66LFdGYtbmJ6G8sArrkfsu', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf99fcc49ad08e4af468c892f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f99fcc49ad08e4af468c892f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f99fcc49ad08e4af468c892f', 'width': 160}], 'name': 'Kuwada', 'popularity': 47, 'type': 'artist', 'uri': 'spotify:artist:66LFdGYtbmJ6G8sArrkfsu'}",Kuwada,47,[],Ocean~
9,7uxvjn5K2Z9ht0m6OosnMU,One That Got Away,37,spotify:artist:6chWbUfdu6ibyaCXM1w8kQ,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6chWbUfdu6ibyaCXM1w8kQ'}, 'followers': {'href': None, 'total': 155765}, 'genres': ['lo-fi rap'], 'href': 'https://api.spotify.com/v1/artists/6chWbUfdu6ibyaCXM1w8kQ', 'id': '6chWbUfdu6ibyaCXM1w8kQ', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb354d3b6bacb847ae6325e9b5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174354d3b6bacb847ae6325e9b5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178354d3b6bacb847ae6325e9b5', 'width': 160}], 'name': 'Forrest.', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:6chWbUfdu6ibyaCXM1w8kQ'}",Forrest.,58,['lo-fi rap'],Warm
