,track_name,artist_name,id,genres,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,track_pop,duration_ms,time_signature
0,Lately,Forrest.,5awvelCGpDQHwgZem0ira9,lo-fi rap,Lately,0.718,0.632,0,-4.011,1,0.145,0.213,1.28e-05,0.283,0.859,160.039,58,53,207000,4
1,Cherry Cola,Kuwada,44uCMdE6RWnkOFYTtbmUUc,pop,Cherry Cola,0.777,0.635,5,-6.323,0,0.0392,0.764,2.25e-06,0.155,0.653,138.04,47,56,184360,4
2,A Song to Sing (feat. Mark Battles & Devvon Terrell),Kid Quill,6vl5ghDnotGACfQy6JDYzY,"indiana hip hop, indie pop rap, pop, pop rap",The Name Above the Title,0.745,0.741,2,-7.212,1,0.184,0.209,0.0,0.51,0.48,94.002,51,0,185487,4
3,NWA,Ryce,0rWXN4PLsnNaWDelk2938S,lo-fi rap,NWA,0.829,0.543,7,-6.886,1,0.0486,0.39,0.156,0.0988,0.358,101.027,46,0,83156,4
4,Just Chill,Forrest.,3ZNOdspGb2cdossfsUqTjw,lo-fi rap,Warm,0.7,0.53,4,-6.216,1,0.0285,0.00775,0.000894,0.195,0.505,99.992,58,35,220482,4
5,Playlist,Kid Quill,3ELtMjUmzqUZGtOtvd3DqO,"indiana hip hop, indie pop rap, pop, pop rap",94.3 the Reel,0.749,0.701,9,-5.782,1,0.251,0.124,0.0,0.0528,0.891,174.013,51,0,198922,4
6,Easy (feat. Wiz Khalifa),Caye,5vUel569Lei71zcFkbHr3W,boston hip hop,Easy (feat. Wiz Khalifa),0.78,0.649,7,-5.024,1,0.0541,0.166,0.0,0.333,0.656,88.498,56,0,186441,4
7,Sunkissed,NVTHVN,6InVPJLNbia2XBqDUVqxWy,pop,Sunkissed,0.701,0.34,11,-11.057,1,0.152,0.386,0.0141,0.259,0.675,79.934,40,31,213000,4
8,Ocean~,Kuwada,4Hpi2QkO0Yl8OzirZuyY57,pop,Ocean~,0.926,0.521,5,-5.17,0,0.0408,0.462,0.000117,0.108,0.534,115.403,47,37,185960,4
9,One That Got Away,Forrest.,7uxvjn5K2Z9ht0m6OosnMU,lo-fi rap,Warm,0.806,0.657,2,-5.235,1,0.155,0.11,0.000155,0.671,0.565,143.845,58,37,184123,4
10,Don't Lose Your Faith,William Bolton,3iVPKtYKLeW3PgI2w0fHM1,pop,Don't Lose Your Faith,0.64,0.513,4,-6.811,0,0.042,0.171,0.0,0.101,0.115,120.06,42,0,184392,4
11,Sex n' Drugs,Abhi The Nomad,6cvRSOoJKvQwS0oDt0TePP,"desi hip hop, indie r&b, pop rap",Sex n' Drugs,0.831,0.32,7,-7.916,1,0.143,0.299,0.0,0.0757,0.319,80.935,58,30,217778,4
12,All for You (feat. Sara Kays),Kid Quill,5KPPPyaYNsSlrl1rNIswvG,"indiana hip hop, indie pop rap, pop, pop rap",The Name Above the Title,0.579,0.531,2,-8.875,1,0.191,0.0755,0.000132,0.113,0.268,116.02,51,0,201503,5
13,Rainbows,Forrest.,5w2hugkhRjehQjSuDl9ulH,lo-fi rap,Warm,0.817,0.802,6,-4.624,0,0.098,0.295,0.0,0.077,0.695,130.022,58,36,193407,4
14,Txt Me,tobi lou,6T10buITypvNM3WXMVDT7p,"chicago rap, pop",Txt Me,0.835,0.507,3,-8.469,0,0.125,0.36,0.0,0.104,0.651,110.046,64,27,247144,4
15,Over You,William Bolton,5uMyjSSewg4B9DLXkEHNCo,pop,Anti Love Love Songs,0.708,0.562,8,-4.592,0,0.0824,0.0534,0.0,0.118,0.719,108.899,42,8,202585,4
16,SANTA MONICA,Aries,2Cien9M0slpqsN7sXoSckm,"pop, pop rap, sad rap",SANTA MONICA,0.708,0.667,4,-5.854,1,0.0356,0.16,0.000683,0.183,0.616,145.976,63,0,165034,4
17,Kids in the Summer,Kid Quill,4uffv27GFjcAN0ahI2Eh3K,"indiana hip hop, indie pop rap, pop, pop rap",Kids in the Summer,0.471,0.68,0,-6.059,1,0.134,0.429,0.0,0.758,0.489,86.414,51,0,240241,4
18,LOCK,Abhi The Nomad,4YNzfDzv8JCK9JLK299efl,"desi hip hop, indie r&b, pop rap",LOCK,0.743,0.736,6,-6.706,0,0.262,0.0393,0.0,0.0491,0.805,148.033,58,11,213243,4
19,Fuck U,NVTHVN,3CM9A4BxQa0WjAOleeyvoh,pop,Fuck U,0.725,0.56,4,-8.61,0,0.0417,0.112,0.000221,0.164,0.366,93.02,40,22,170343,4
20,This View,Surfaces,3Mj9MDsMqMqXBgZvktOoOY,"bedroom soul, pop",Where the Light Is,0.802,0.772,6,-6.006,1,0.0404,0.0552,0.0,0.0641,0.779,132.942,71,0,162406,4
21,Your Soul,Forrest.,26qTfV9DiLTT5fBXgvXfFx,lo-fi rap,Warm,0.846,0.851,9,-3.821,1,0.372,0.0244,0.0,0.153,0.822,139.966,58,56,178286,4
22,Sailor,tobi lou,4qov4NauMMEyqZGLzK4ezu,"chicago rap, pop",tobi lou and the Moon,0.859,0.625,7,-8.927,1,0.0593,0.618,0.0,0.111,0.751,122.011,64,28,184918,4
23,UR NOT PRECIOUS,Aries,31rYTFcArASOky4nneBlO9,"pop, pop rap, sad rap",UR NOT PRECIOUS,0.612,0.679,6,-5.037,0,0.276,0.133,0.00104,0.17,0.767,170.18,63,0,170000,4
24,White Shoes,Kid Quill,5IUYYdqgqIoZtVU95rfT0I,"indiana hip hop, indie pop rap, pop, pop rap",94.3 the Reel,0.694,0.595,1,-6.672,1,0.357,0.134,0.0,0.657,0.574,179.977,51,0,234304,4
25,So Long,Abhi The Nomad,1E8t8Gtb6BQfMMpEgVNyIh,"desi hip hop, indie r&b, pop rap",Marbled,0.899,0.573,9,-5.47,1,0.0556,0.267,4.67e-06,0.0854,0.826,120.006,58,31,211000,4
26,Be Honest,Forrest.,3gm8vGx0x7QlAzixk4IcdE,lo-fi rap,Be Honest,0.511,0.682,1,-5.6,1,0.257,0.32,0.000263,0.298,0.533,89.832,58,34,192000,4
27,Limestone,Magic City Hippies,00HIh9mVUQQAycsQiciWsh,"indie r&b, indie soul, miami indie, modern rock, vapor soul",Hippie Castle EP,0.706,0.457,4,-9.359,1,0.0383,0.282,0.00849,0.0614,0.723,78.014,59,0,209165,4
28,Satisfied (feat. Travis Mills),William Bolton,6bWl8yJncLECMCfu5InGOk,pop,Satisfied (feat. Travis Mills),0.839,0.564,9,-5.461,0,0.181,0.102,0.0,0.11,0.853,132.063,42,0,205000,4
29,Can't Afford It All,Jakubi,7rm8f8PBmvAGsa9GfJqga1,pop,Jakubi,0.798,0.655,7,-4.805,0,0.055,0.0847,0.0,0.0502,0.77,105.963,38,29,226367,4
30,Headcase,Abhi The Nomad,1caLffCBOYy7xJFvt8LBkm,"desi hip hop, indie r&b, pop rap",Marbled,0.746,0.836,0,-5.178,0,0.0455,0.205,2.11e-05,0.184,0.651,126.966,58,19,264750,4
31,Tonight,Forrest.,7AvtCxEvsKQsJmWIRjVDd3,lo-fi rap,Tonight,0.766,0.724,4,-8.24,0,0.12,0.752,0.01,0.0904,0.645,153.964,58,30,218182,4
32,Sometimes,Caye,09pjMhfwFGB5TKEQLBdcMX,boston hip hop,"Shades, Pt. 1",0.521,0.33,5,-11.752,1,0.0853,0.135,4.37e-05,0.0962,0.199,153.374,56,0,201039,3
33,Billy,tobi lou,1rmCgwtyg3QXe7iKu1dqpD,"chicago rap, pop",tobi lou and the Juice,0.925,0.453,9,-8.376,0,0.168,0.306,6.99e-05,0.0972,0.52,137.022,64,48,115618,4
34,Couch Potato,Jakubi,4wFzDwH40XrQL067ETa9wy,pop,Couch Potato,0.736,0.707,8,-4.491,1,0.103,0.251,0.0,0.411,0.58,90.078,38,46,195188,4
35,Why Not Me,Forrest.,1gewwJHPkvysxLEGgOKQuB,lo-fi rap,Warm,0.905,0.721,7,-6.922,1,0.31,0.48,0.0,0.528,0.695,145.958,58,53,195000,4
36,Heaven Falls / Fall on Me,Surfaces,7yHqOZfsXYlicyoMt62yC6,"bedroom soul, pop",Heaven Falls / Fall on Me,0.563,0.366,11,-6.896,0,0.121,0.36,0.00243,0.0955,0.768,85.352,71,59,240597,4
37,BOOTY,Abhi The Nomad,3mcVG92JUD8lmqMi3qq6it,"desi hip hop, indie r&b, pop rap",BOOTY,0.806,0.605,2,-4.901,1,0.274,0.122,0.0,0.0757,0.847,158.026,58,10,162532,4
38,Birthday Boy (feat. Zack Villere),tobi lou,6jK4ybz93tWYjRJwjM9GSW,"chicago rap, pop",tobi lou and the Juice,0.809,0.472,2,-10.525,1,0.158,0.68,0.000274,0.0821,0.293,129.991,64,33,186462,4
39,Pillow,Jakubi,2twbMJ7Z0FGUCxEa6qjYEi,pop,61 Barkly,0.778,0.581,0,-5.926,1,0.1,0.0385,0.0,0.0268,0.701,140.94,38,21,201160,4
40,Paris,love-sadKID,0F9HcbLW7FGW47JH08y8HS,"lo-fi rap, meme rap",Paris,0.718,0.585,6,-9.023,0,0.244,0.231,0.0,0.175,0.791,141.844,52,0,114933,4
41,It's Okay (Outro),Forrest.,76Ffe9qbscw3qo8I4Kmi4j,lo-fi rap,Warm,0.804,0.689,4,-12.312,1,0.0449,0.504,0.656,0.385,0.565,100.003,58,30,166346,4
42,Dance in the Living Room,NVTHVN,2jjuzjDbmVOI7kNCSxy5e4,pop,Dance in the Living Room,0.758,0.684,6,-5.037,0,0.085,0.0953,2.11e-06,0.149,0.73,109.953,40,45,244540,4
43,Pretty Girl,Felly,28FqD6P5Elq2hIJvvTx2dW,underground hip hop,Surf Trap,0.798,0.523,3,-5.085,1,0.0536,0.261,0.0,0.105,0.409,124.999,56,0,191633,4
44,Missin You Crazy,Russ,4ve2uzqdwnHr20G5YgMMqr,"hawaiian hip hop, rap",ZOO,0.716,0.729,5,-6.313,1,0.117,0.0991,0.0,0.0842,0.276,131.975,79,66,226693,4
45,Bloom,Gareth.T,0L7FWnFq9fJ8rE8gNG1Bkc,"chill r&b, hk-pop, hong kong hip hop",Bloom,0.404,0.417,1,-8.125,1,0.273,0.886,0.0,0.109,0.315,80.614,57,29,250281,4
46,I Keep Scrolling Wishing You Would Comment....,Gareth.T,5hM4EMpGb8qw6enzrQm7hI,"chill r&b, hk-pop, hong kong hip hop",I Keep Scrolling Wishing You Would Comment....,0.689,0.367,4,-6.228,1,0.107,0.781,0.0,0.128,0.721,79.081,57,27,174569,4
47,24 / 7 / 365,Surfaces,6WgYoOtcXnmyv4cK6RRtYv,"bedroom soul, pop",Surf,0.743,0.647,4,-6.194,1,0.0338,0.26,1.61e-06,0.322,0.9,141.226,71,42,177000,4
48,Grandpop's Uke,Forrest.,1DaKKdbaXf6R6m3kybY01D,lo-fi rap,Warm,0.924,0.637,10,-4.823,1,0.454,0.277,0.0,0.339,0.597,130.055,58,45,246506,4
49,Butterflies,Samsa,6kVku2CoE7fbD29miiutzw,"lo-fi rap, meme rap",Butterflies,0.54,0.744,1,-10.942,1,0.405,0.307,8.95e-05,0.103,0.925,92.207,47,0,199184,4
50,My Room,Forrest.,4yGfpoEFOBW8tfM2Rgl57y,lo-fi rap,My Room,0.83,0.61,9,-7.269,0,0.273,0.24,0.0,0.133,0.781,127.949,58,40,214219,4
51,Marbled,Abhi The Nomad,2g20BLinFvXA6l47j4igE5,"desi hip hop, indie r&b, pop rap",Marbled,0.671,0.449,0,-6.413,1,0.3,0.439,0.00125,0.0791,0.35,95.065,58,25,242526,4
52,Somebody to Love - Acoustic Version,Abhi The Nomad,4w7vX3fwHC9Or21RUf8DOy,"desi hip hop, indie r&b, pop rap",Somebody to Love (Acoustic),0.819,0.271,9,-8.655,1,0.0637,0.864,0.0,0.125,0.63,108.837,58,19,179920,4
53,Somebody to Love,Abhi The Nomad,3pdHWxpeFJqai3skQcRr41,"desi hip hop, indie r&b, pop rap",Marbled,0.827,0.525,6,-5.823,0,0.0309,0.118,0.00674,0.107,0.883,119.985,58,37,250000,4
54,Who's Got You Singing Again,PREP,6zeS1N6ls8cG4TMablZtFu,pop,Who's Got You Singing Again,0.83,0.501,0,-6.223,1,0.0308,0.532,0.0013,0.0985,0.481,117.999,61,0,264204,4
55,Honesty,Pink Sweat$,5dXI2NV7X2c4anyLFbQdEX,"bedroom soul, chill r&b, pop",Honesty,0.616,0.204,6,-11.421,0,0.0331,0.919,0.0,0.106,0.419,79.826,72,2,191000,4
56,Darlin',tobi lou,0eGrwX4kf5sV1faR5tZDp3,"chicago rap, pop",Darlin',0.866,0.388,9,-11.009,1,0.32,0.571,0.0,0.1,0.556,109.976,64,53,205091,4
57,Game Ova,tobi lou,4QbVWCAkh9Z1G041cQAiZ9,"chicago rap, pop",Game Ova,0.445,0.518,1,-6.424,1,0.143,0.29,2.71e-05,0.113,0.241,171.9,64,36,240000,4
58,Our Time,Russ,0zycJ5wiUlx2aP3MySQv0S,"hawaiian hip hop, rap",ZOO,0.758,0.675,7,-6.49,0,0.0845,0.0746,1.32e-06,0.167,0.491,148.093,79,45,170293,4
59,Home Alone,beabadoobee,11uegai5EDWOoCyQNfr3Ig,"bedroom pop, bubblegrunge, indie pop, pop",Lice,0.498,0.0506,1,-20.634,1,0.0395,0.993,0.0092,0.101,0.0796,119.287,79,0,138500,4
60,MOOO!,Doja Cat,00bWqt93aqLXqKtzZoq7Jw,"dance pop, pop",MOOO!,0.878,0.407,7,-10.941,1,0.233,0.459,0.0,0.111,0.546,89.007,89,49,286517,4
61,Dancing in the Moonlight - 2001 Remix,Toploader,1OzY7RRZh3EcIKn7VKZUTx,british alternative rock,Onka's Big Moka,0.748,0.842,10,-3.107,1,0.0265,0.0217,4.24e-06,0.357,0.945,119.023,64,45,233573,4
62,The One That Got Away - Acoustic,Katy Perry,5jx8tCxiO0uIbo2uNia23K,"dance pop, pop",Teenage Dream: The Complete Confection,0.714,0.434,4,-11.542,1,0.0396,0.697,0.0,0.0919,0.352,123.942,87,64,259040,4
63,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1A6OTy97kk0mMdm78rHsm8,"dfw rap, melodic rap, rap",Sunflower (Spider-Man: Into the Spider-Verse),0.753,0.498,2,-5.61,1,0.0504,0.551,0.0,0.0706,0.927,89.95,90,0,158053,4
